Id,Sku,Product name,Manage stock,Stock status,Backorders,Stock,Type,Parent ID,,,
9945,iP12PR-SL-256-C -R,256 GB Silver Bueno,TRUE,outofstock,no,,product-variant,8912,,,
9946,iP12PR-SL-256-B -R,256 GB Silver Muy bueno,TRUE,outofstock,no,,product-variant,8912,,,
9947,iP12PR-SL-256-A -R,256 GB Silver Excelente,TRUE,outofstock,no,,product-variant,8912,,,
9948,iP12PR-SL-256-A+-R,256 GB Silver Premium,TRUE,outofstock,no,,product-variant,8912,,,
9949,iP12PR-GD-512-C -R,512 GB Gold Bueno,TRUE,outofstock,no,,product-variant,8912,,,
9950,iP12PR-GD-512-B -R,512 GB Gold Muy bueno,TRUE,outofstock,no,,product-variant,8912,,,
9951,iP12PR-GD-512-A -R,512 GB Gold Excelente,TRUE,outofstock,no,,product-variant,8912,,,
9952,iP12PR-GD-512-A+-R,512 GB Gold Premium,TRUE,outofstock,no,,product-variant,8912,,,
9953,iP12PR-GRT-512-C -R,512 GB Graphite Bueno,TRUE,outofstock,no,,product-variant,8912,,,
9954,iP12PR-GRT-512-B -R,512 GB Graphite Muy bueno,TRUE,outofstock,no,,product-variant,8912,,,
9955,iP12PR-GRT-512-A -R,512 GB Graphite Excelente,TRUE,outofstock,no,,product-variant,8912,,,
9956,iP12PR-GRT-512-A+-R,512 GB Graphite Premium,TRUE,outofstock,no,,product-variant,8912,,,
9957,iP12PR-PCBL-512-C -R,512 GB Pacific Blue Bueno,TRUE,outofstock,no,,product-variant,8912,,,
9958,iP12PR-PCBL-512-B -R,512 GB Pacific Blue Muy bueno,TRUE,outofstock,no,,product-variant,8912,,,
9959,iP12PR-PCBL-512-A -R,512 GB Pacific Blue Excelente,TRUE,outofstock,no,,product-variant,8912,,,
