Id,Sku,Product name,Manage stock,Stock status,Backorders,Stock,Type,Parent ID
9616.0,AWT7G-ALUBL-41-C -R,41 MM Aluminio Blue Bueno,TRUE,outofstock,no,0.0,product-variant,9541.0
9617.0,AWT7G-ALUBL-41-B -R,41 MM Aluminio Blue Muy bueno,TRUE,outofstock,no,0.0,product-variant,9541.0
9618.0,AWT7G-ALUBL-41-A -R,41 MM Aluminio Blue Excelente,TRUE,outofstock,no,0.0,product-variant,9541.0
9619.0,AWT7G-ALUBL-41-A+ -R,41 MM Aluminio Blue Premium,TRUE,outofstock,no,0.0,product-variant,9541.0
9620.0,AWT7G-ALUGR-41-C -R,41 MM Aluminio Green Bueno,TRUE,outofstock,no,0.0,product-variant,9541.0
9621.0,AWT7G-ALUGR-41-B -R,41 MM Aluminio Green Muy bueno,TRUE,outofstock,no,0.0,product-variant,9541.0
9622.0,AWT7G-ALUGR-41-A -R,41 MM Aluminio Green Excelente,TRUE,outofstock,no,0.0,product-variant,9541.0
9623.0,AWT7G-ALUGR-41-A+ -R,41 MM Aluminio Green Premium,TRUE,outofstock,no,0.0,product-variant,9541.0
9624.0,AWT7G-ALUMD-41-C -R,41 MM Aluminio Midnight Bueno,TRUE,outofstock,no,0.0,product-variant,9541.0
9625.0,AWT7G-ALUMD-41-B -R,41 MM Aluminio Midnight Muy bueno,TRUE,outofstock,no,0.0,product-variant,9541.0
9626.0,AWT7G-ALUMD-41-A -R,41 MM Aluminio Midnight Excelente,TRUE,outofstock,no,0.0,product-variant,9541.0
9627.0,AWT7G-ALUMD-41-A+ -R,41 MM Aluminio Midnight Premium,TRUE,outofstock,no,0.0,product-variant,9541.0
9628.0,AWT7G-ALURD-41-C -R,41 MM Aluminio Red Bueno,TRUE,outofstock,no,0.0,product-variant,9541.0
9629.0,AWT7G-ALURD-41-B -R,41 MM Aluminio Red Muy bueno,TRUE,outofstock,no,0.0,product-variant,9541.0
9630.0,AWT7G-ALURD-41-A -R,41 MM Aluminio Red Excelente,TRUE,outofstock,no,0.0,product-variant,9541.0
9631.0,AWT7G-ALURD-41-A+ -R,41 MM Aluminio Red Premium,TRUE,outofstock,no,0.0,product-variant,9541.0
9632.0,AWT7G-ALUSTR-41-C -R,41 MM Aluminio Starlight Bueno,TRUE,outofstock,no,0.0,product-variant,9541.0
9633.0,AWT7G-ALUSTR-41-B -R,41 MM Aluminio Starlight Muy bueno,TRUE,outofstock,no,0.0,product-variant,9541.0
9634.0,AWT7G-ALUSTR-41-A -R,41 MM Aluminio Starlight Excelente,TRUE,outofstock,no,0.0,product-variant,9541.0
9636.0,AWT7G-ALUBL-45-C -R,45 MM Aluminio Blue Bueno,TRUE,outofstock,no,0.0,product-variant,9541.0
9637.0,AWT7G-ALUBL-45-B -R,45 MM Aluminio Blue Muy bueno,TRUE,outofstock,no,0.0,product-variant,9541.0
9638.0,AWT7G-ALUBL-45-A -R,45 MM Aluminio Blue Excelente,TRUE,outofstock,no,0.0,product-variant,9541.0
9639.0,AWT7G-ALUBL-45-A+ -R,45 MM Aluminio Blue Premium,TRUE,outofstock,no,0.0,product-variant,9541.0
9640.0,AWT7G-ALUGR-45-C -R,45 MM Aluminio Green Bueno,TRUE,outofstock,no,0.0,product-variant,9541.0
9641.0,AWT7G-ALUGR-45-B -R,45 MM Aluminio Green Muy bueno,TRUE,outofstock,no,0.0,product-variant,9541.0
9642.0,AWT7G-ALUGR-45-A -R,45 MM Aluminio Green Excelente,TRUE,outofstock,no,0.0,product-variant,9541.0
9643.0,AWT7G-ALUGR-45-A+ -R,45 MM Aluminio Green Premium,TRUE,outofstock,no,0.0,product-variant,9541.0
9644.0,AWT7G-ALUMD-45-C -R,45 MM Aluminio Midnight Bueno,TRUE,outofstock,no,0.0,product-variant,9541.0
9645.0,AWT7G-ALUMD-45-B -R,45 MM Aluminio Midnight Muy bueno,TRUE,outofstock,no,0.0,product-variant,9541.0
9647.0,AWT7G-ALUMD-45-A+ -R,45 MM Aluminio Midnight Premium,TRUE,outofstock,no,0.0,product-variant,9541.0
9648.0,AWT7G-ALURD-45-C -R,45 MM Aluminio Red Bueno,TRUE,outofstock,no,0.0,product-variant,9541.0
9649.0,AWT7G-ALURD-45-B -R,45 MM Aluminio Red Muy bueno,TRUE,outofstock,no,0.0,product-variant,9541.0
9650.0,AWT7G-ALURD-45-A -R,45 MM Aluminio Red Excelente,TRUE,outofstock,no,0.0,product-variant,9541.0
9651.0,AWT7G-ALURD-45-A+ -R,45 MM Aluminio Red Premium,TRUE,outofstock,no,0.0,product-variant,9541.0
9652.0,AWT7G-ALUSTR-45-C -R,45 MM Aluminio Starlight Bueno,TRUE,outofstock,no,0.0,product-variant,9541.0
9653.0,AWT7G-ALUSTR-45-B -R,45 MM Aluminio Starlight Muy bueno,TRUE,outofstock,no,0.0,product-variant,9541.0
9654.0,AWT7G-ALUSTR-45-A -R,45 MM Aluminio Starlight Excelente,TRUE,outofstock,no,0.0,product-variant,9541.0
9655.0,AWT7G-ALUSTR-45-A+ -R,45 MM Aluminio Starlight Premium,TRUE,outofstock,no,0.0,product-variant,9541.0
9702.0,AWTSE2G-ALUMD-40-C -R,40 MM Aluminio Midnight Bueno,TRUE,outofstock,no,0.0,product-variant,9656.0
9703.0,AWTSE2G-ALUMD-40-B -R,40 MM Aluminio Midnight Muy bueno,TRUE,outofstock,no,0.0,product-variant,9656.0
